participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s
P24,Baseline,absolute,t5,0.10976,collision,vha,325.941,,326.634,,0.693,693.4,gaze_side,,False,9.5315
P24,Baseline,absolute,t3,0.11473,collision,vha,401.461,,402.085,,0.624,624.1,gaze_side,,False,12.2087
P25,Adaptive,absolute,t4,0.08499,collision,vha,65.574,,70.89,,5.316,5316.2,gaze_up,,False,12.0932
P25,Adaptive,absolute,t1,0.12223,collision,vha,170.583,,170.764,,0.18,180.1,stop,,False,8.2179
P25,Adaptive,absolute,t2,0.10608,collision,vha,235.515,,235.676,,0.161,161.2,run,,False,7.7281
P25,Adaptive,absolute,t3,0.09639,collision,vha,272.614,,272.808,,0.193,193.3,run,,False,7.7091
P25,Adaptive,absolute,t5,0.09624,collision,vha,331.238,,332.946,,1.708,1707.5,stop,,False,6.9918
P25,Baseline,absolute,t1,0.03915,collision,vha,16.804,,16.973,,0.169,168.7,run,,False,6.864
P25,Baseline,absolute,t5,0.14959,collision,vha,68.891,,69.864,,0.972,972.4,gaze_side,,False,7.486
P25,Baseline,absolute,t2,0.16057,collision,vha,131.894,,132.076,,0.182,182.0,run,,False,6.8255
P25,Baseline,absolute,t4,0.17482,collision,vha,205.615,,208.99,,3.374,3374.2,gaze_up,,False,7.1435
P25,Baseline,absolute,t3,0.08642,collision,vha,312.243,,312.699,,0.456,456.2,run,,False,6.8783
P26,Adaptive,absolute,t5,0.08047,collision,vha,17.953,,19.306,,1.353,1353.1,run,,False,8.1498
P26,Adaptive,absolute,t1,0.03206,collision,f,122.505,,123.103,,0.598,597.6,gaze_up,,False,4.9651
P26,Adaptive,absolute,t3,0.05243,collision,vha,199.604,,200.025,,0.422,421.6,run,,False,9.0123
P26,Adaptive,absolute,t4,0.05581,collision,vha,384.06,,384.713,,0.653,652.8,run,,False,7.6531
P26,Adaptive,absolute,t2,0.09873,collision,vha,426.368,,426.925,,0.558,557.6,run,,False,8.0606
P26,Baseline,absolute,t1,0.09084,collision,vha,59.383,,59.607,,0.224,224.1,run,,False,16.3028
P26,Baseline,absolute,t3,0.04654,collision,vha,151.754,,152.718,,0.964,964.4,run,,False,12.0075
P26,Baseline,absolute,t4,0.05702,collision,vha,316.025,,316.738,,0.712,712.3,run,,False,6.8037
P26,Baseline,absolute,t5,0.05472,collision,vha,370.992,,371.144,,0.152,152.1,run,,False,7.7929
P26,Baseline,absolute,t2,0.07098,collision,vha,462.88,,463.088,,0.208,208.5,run,,False,5.3585
P27,Adaptive,absolute,t3,,collision,vha_fallback,95.339,,99.201,,3.863,3862.6,gaze_up,found_on_retry_vha_fallback,False,4.4419
P27,Adaptive,absolute,t4,0.05348,collision,vha,184.751,,184.902,,0.152,151.6,gaze_side,,False,5.5973
P27,Adaptive,absolute,t5,0.07415,collision,vha,272.668,,273.404,,0.735,735.3,gaze_side,,False,5.6053
P27,Adaptive,absolute,t1,,collision,vha,327.583,,328.038,,0.454,454.4,gaze_side,,False,5.7256
P27,Adaptive,absolute,t2,0.08929,collision,vha,415.682,,418.572,,2.89,2889.6,run,,False,5.7451
P27,Baseline,absolute,t3,,collision,vha,18.514,,18.764,,0.251,250.5,gaze_side,,False,6.5967
P27,Baseline,absolute,t2,0.01949,collision,vha,42.809,,42.961,,0.152,151.9,run,,False,5.7034
P27,Baseline,absolute,t1,0.02555,collision,vha,119.918,,120.084,,0.166,166.1,run,,False,5.6678
P27,Baseline,absolute,t4,0.04964,collision,vha,248.306,,248.468,,0.162,162.1,run,,False,5.4528
P27,Baseline,absolute,t5,0.04183,collision,vha,281.495,,281.663,,0.168,168.1,run,,False,5.4599
P28,Adaptive,absolute,t5,0.02352,collision,f,94.445,,95.006,,0.561,561.2,run,,False,12.6934
P28,Adaptive,absolute,t1,0.08327,collision,vha,142.592,,143.01,,0.417,417.4,stop,,False,8.6949
P28,Adaptive,absolute,t2,0.0952,collision,vha,409.734,,411.694,,1.961,1960.7,gaze_side,,False,17.2875
P28,Adaptive,absolute,t4,0.09075,collision,vha,497.111,,498.3,,1.189,1189.0,stop,,False,21.0341
P28,Adaptive,absolute,t3,0.08067,collision,vha,543.56,,545.403,,1.843,1842.9,stop,,False,6.9393
P28,Baseline,absolute,t5,0.0512,collision,vha,406.466,,406.782,,0.316,316.3,run,,False,24.9586
P28,Baseline,absolute,t1,0.09485,collision,vha,669.173,,671.516,,2.343,2343.0,gaze_side,,False,17.5301
P28,Baseline,absolute,t4,0.06502,collision,vha,781.643,,785.522,,3.879,3879.4,gaze_side,,False,20.5389
P28,Baseline,absolute,t2,0.09247,collision,vha,897.227,,897.792,,0.565,564.9,run,,False,26.5998
P28,Baseline,absolute,t3,0.06739,collision,vha,948.984,,949.337,,0.353,352.8,run,,False,8.8796
P29,Adaptive,absolute,t1,0.04597,collision,vha,31.267,,31.741,,0.474,473.9,run,,False,11.6811
P29,Adaptive,absolute,t4,0.03624,collision,f,161.152,,161.306,,0.154,154.3,run,,False,5.3977
P29,Adaptive,absolute,t2,0.0,collision,f,253.398,,253.562,,0.164,164.0,run,,False,4.702
P29,Adaptive,absolute,t5,,collision,f,342.047,,342.884,,0.837,837.0,gaze_side,,False,4.0344
P29,Adaptive,absolute,t3,0.057,collision,f,423.834,,424.138,,0.304,303.7,run,,False,3.9092
P29,Baseline,absolute,t5,0.08291,collision,vha,164.319,,164.5,,0.181,180.5,run,,False,8.3786
P29,Baseline,absolute,t2,0.07679,collision,vha,242.856,,243.017,,0.161,160.6,run,,False,7.3511
P29,Baseline,absolute,t1,0.09186,collision,vha,355.999,,357.76,,1.762,1761.7,run,,False,7.5531
P29,Baseline,absolute,t4,0.05317,collision,vha,419.882,,420.647,,0.765,765.2,stop,,False,7.2676
P29,Baseline,absolute,t3,0.09947,collision,vha,453.35,,453.641,,0.291,291.0,gaze_up,,False,8.649
P30,Adaptive,absolute,t3,0.04059,collision,vha,27.734,,27.957,,0.223,222.9,gaze_side,,False,7.5559
P30,Adaptive,absolute,t2,0.06804,collision,vha,70.597,,75.341,,4.744,4744.3,gaze_side,,False,13.3407
P30,Adaptive,absolute,t1,0.06507,collision,vha,109.783,,110.829,,1.046,1046.3,run,,False,13.6055
P30,Adaptive,absolute,t5,0.05766,collision,vha,413.63,,415.325,,1.695,1694.9,run,,False,9.7879
P30,Adaptive,absolute,t4,0.05962,collision,vha,482.761,,486.401,,3.641,3640.7,run,,False,13.6145
P30,Baseline,absolute,t1,0.02292,collision,vha,27.188,,27.347,,0.159,159.0,run,,False,17.1544
P30,Baseline,absolute,t2,0.05439,collision,vha,182.229,,186.287,,4.058,4057.7,run,,False,9.7746
P30,Baseline,absolute,t5,0.03608,collision,vha,240.918,,241.081,,0.163,163.1,run,,False,7.7393
P30,Baseline,absolute,t3,0.07366,collision,vha,306.639,,308.765,,2.126,2125.9,run,,False,10.8841
P30,Baseline,absolute,t4,0.06964,collision,vha,338.901,,339.083,,0.183,182.7,run,,False,7.3064
