participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s
P3,Adaptive,auto,t1,0.0154,collision,vha,8.364,,8.537,,0.173,172.6,run,,False,49.1455
P3,Adaptive,auto,t5,0.03806,collision,vha,16.849,,17.007,,0.159,158.6,stop,,False,44.2459
P3,Adaptive,auto,t3,0.00748,collision,vha,25.15,,25.311,,0.16,160.5,stop,,False,10.2141
P3,Adaptive,auto,t2,0.01694,collision,vha,33.543,,33.715,,0.171,171.5,run,,False,8.9208
P3,Adaptive,auto,t4,0.02774,collision,vha,42.005,,42.185,,0.18,180.1,run,,False,9.4587
P3,Baseline,auto,t2,0.00287,collision,vha,8.547,,8.7,,0.153,153.1,run,,False,9.3305
P3,Baseline,auto,t1,0.0625,collision,vha,17.032,,17.433,,0.4,400.4,gaze_up,,False,11.2946
P3,Baseline,auto,t3,0.27108,collision,vha,25.39,,26.999,,1.609,1609.3,stop,,False,13.715
P3,Baseline,auto,t5,0.00943,collision,vha,33.653,,34.465,,0.813,812.8,run,,False,16.7501
P3,Baseline,auto,t4,,collision,vha,42.286,,,,,,,occluded_or_out_of_frame,False,10.7873
P4,Baseline,auto,t1,,collision,vha,8.5,,,,,,,annotated_reaction_not_automatable,True,29.7317
P4,Baseline,auto,t4,,collision,vha,16.7,,,,,,,annotated_reaction_not_automatable,True,6.9189
P4,Baseline,auto,t5,,collision,vha,25.602,,,,,,,annotated_reaction_not_automatable,True,12.2849
P4,Baseline,auto,t3,,collision,vha,33.957,,,,,,,annotated_reaction_not_automatable,True,7.0684
P4,Baseline,auto,t2,,collision,vha,42.335,,,,,,,annotated_reaction_not_automatable,True,12.0364
P5,Adaptive,direct,t3,0.06306,collision,vha,83.0,,84.414,,1.414,1414.4,gaze_side,,False,31.0906
P5,Adaptive,direct,t1,0.01835,response_stop,f,374.346,,374.564,,0.217,217.3,run,,False,6.3355
P5,Adaptive,direct,t2,0.06189,collision,vha,421.0,,422.539,,1.539,1538.6,gaze_side,,False,10.0835
P5,Adaptive,direct,t4,0.0372,collision,vha,455.0,,456.444,,1.444,1444.4,stop,,False,6.7466
P5,Adaptive,direct,t5,0.03069,collision,vha,492.0,,492.684,,0.684,683.9,run,,False,7.6922
P5,Baseline,direct,t3,0.03519,response_stop,vha,23.0,,23.37,,0.37,370.3,run,,False,8.0673
P5,Baseline,direct,t1,0.0729,collision,vha,88.0,,90.181,,2.181,2180.6,stop,,False,5.9918
P5,Baseline,direct,t5,0.07784,collision,vha,114.0,,118.385,,4.385,4385.0,gaze_side,,False,6.831
P5,Baseline,direct,t2,0.07924,collision,vha,172.0,,173.727,,1.727,1726.9,stop,,False,8.2646
P5,Baseline,direct,t4,0.06517,collision,vha,355.0,,355.955,,0.955,955.0,gaze_side,,False,9.0869
P6,Adaptive,direct,t4,0.1359,collision,vha,31.0,,31.17,,0.17,169.8,stop,,False,11.5386
P6,Adaptive,direct,t3,0.02307,collision,vha,83.0,,83.542,,0.542,541.8,run,,False,9.8734
P6,Adaptive,direct,t2,0.12655,collision,vha,240.0,,240.158,,0.158,157.6,stop,,False,13.8138
P6,Adaptive,direct,t5,0.13624,collision,vha,451.0,,451.179,,0.179,178.9,stop,,False,8.4186
P6,Adaptive,direct,t1,0.12332,collision,vha,521.0,,521.419,,0.419,419.3,stop,,False,9.1289
P6,Baseline,direct,t3,0.09497,collision,vha,41.0,,41.157,,0.157,156.7,stop,,False,9.1532
P6,Baseline,direct,t1,0.08399,collision,vha,231.0,,231.544,,0.544,543.7,stop,,False,9.4498
P6,Baseline,direct,t4,0.06515,collision,vha,342.0,,343.017,,1.017,1016.6,stop,,False,12.8744
P6,Baseline,direct,t5,0.10606,collision,vha,456.0,,456.322,,0.322,322.3,gaze_side,,False,13.0101
