PID,Mode,Run,Logged_Outcome,Actual_Outcome,Gaze_general,Alarm_reaction,Stopped_at_Alarm,Gaze_alarm,Note
1,a,t1,collision,response_run,phone,mild,no,both,stopped for ambient and faster for trigger
1,a,t2,response_stop,response_stop,phone,mild,vha,vha,wanted to continue after f
1,a,t3,response_stop,collision,phone,mild,f,f,no VHA even after continuing to walk after f
1,a,t4,collision,not_in_time,phone,jumped,both,both,stopped for ambient
1,a,t5,response_stop,collision,phone,mild,both,both,no VHA even after continuing to walk after
1,a,c1,safe_stop,not_in_time,phone,strong,f,f,problem with chat task -> catch not in time because stopped right after B
1,a,c2,safe_stop,safe_stop,phone,mild,no,f,stopped at B
1,a,s1,safe_turn,safe_turn,phone,none,no,no,stopped for ambient
1,a,s2,safe_turn,safe_turn,phone,none,no,no,
1,b,t1,collision,response_stop,phone,mild,vha,vha,
1,b,t2,collision,collision,phone,strong,vha,vha,stopped at ambient and run into trigger after stopping at alarm
1,b,t3,collision,response_stop,phone,mild,vha,vha,
1,b,t4,collision,response_stop,phone,mild,vha,vha,
1,b,t5,response_stop,response_stop,phone,mild,vha,vha,took one more stop after VHA stop till car in front
1,b,c1,safe_stop,safe_stop,both,none,no,no,no stop
1,b,c2,safe_stop,safe_stop,phone,none,no,no,no stop
1,b,s1,safe_turn,safe_turn,phone,none,no,no,stopped at ambient
1,b,s2,safe_turn,safe_turn,both,none,no,no,looked at screen at the end to make sure
2,a,t1,collision,response_run,phone,strong,no,both,hurried to other side after VHA
2,a,t2,collision,response_stop,phone,mild,vha,both,slowed down for f
2,a,t3,collision,response_stop,phone,mild,vha,both,slowed down for f
2,a,t4,collision,response_run,phone,mild,no,both,waited for ambient before crossing A and hurried over the street when VHA
2,a,t5,collision,not_in_time,phone,mild,no,both,walked generally faster -> timing error
2,a,c1,safe_stop,safe_stop,phone,mild,no,f,
2,a,c2,safe_stop,safe_stop,phone,mild,no,f,
2,a,s1,safe_turn,safe_turn,phone,none,no,no,really looks at the scenario before crossing A
2,a,s2,safe_turn,safe_turn,phone,none,no,no,only looked up once
2,b,t1,response_stop,response_stop,phone,mild,vha,vha,
2,b,t2,collision,response_stop,phone,mild,vha,no,looks up before alarm
2,b,t3,response_stop,response_stop,phone,mild,vha,vha,
2,b,t4,collision,response_stop,phone,mild,vha,vha,waits for ambient after B
2,b,t5,collision,response_stop,phone,mild,vha,vha,
2,b,c1,safe_stop,safe_stop,phone,none,no,no,faster than car and no knowledge of car
2,b,c2,safe_stop,safe_stop,phone,none,no,no,looks up without alarm
2,b,s1,safe_turn,safe_turn,phone,none,no,no,looks at screen when in danger zone without alarm
2,b,s2,safe_turn,safe_turn,phone,none,no,no,looks at screen when in danger zone without alarm
3,a,t1,collision,response_continue_walk,phone,mild,no,both,"got faster during the walk + ""ultra irritating"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" (no video)"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
3,a,t2,collision,not_in_time,both,mild,no,both,waits for ambient to cross B so alarm too late
3,a,t3,collision,not_in_time,both,mild,no,both,got faster during the walk
3,a,t4,collision,not_in_time,both,mild,no,f,waits for ambient to cross A and got faster during the walk
3,a,t5,collision,not_in_time,phone,mild,no,both,got faster during the walk (alarm in danger zone)
3,a,c1,safe_stop,safe_stop,phone,mild,no,no,gets faster at end
3,a,c2,safe_stop,safe_stop,traffic,mild,no,f,looked up in middle and run across the street
3,a,s1,safe_turn,safe_turn,phone,none,no,no,waits for ambient before crossing A and looks up midway
3,a,s2,safe_turn,safe_turn,phone,none,no,no,waits for ambient before crossing A and look up in danger zone without alarm
3,b,t1,collision,not_in_time,phone,mild,no,vha,got faster
3,b,t2,collision,not_in_time,phone,mild,no,vha,got faster
3,b,t3,collision,not_in_time,phone,none,no,no,got faster (alarm in danger zone)
3,b,t4,collision,not_in_time,both,none,no,no,redid (both times alarm too late)
3,b,t5,collision,not_in_time,both,mild,no,vha,redid (both times alarm too late)
3,b,c1,safe_stop,safe_stop,phone,none,no,no,looks up midway without alarm
3,b,c2,safe_stop,safe_stop,phone,none,no,no,runs when catch turned corner without alarm
3,b,s1,safe_turn,safe_turn,phone,none,no,no,waits for ambient to cross A
3,b,s2,safe_turn,safe_turn,both,none,no,no,only looked up at the beginning
4,a,t1,collision,response_stop,phone,mild,both,both,walks in between alarms
4,a,t2,collision,response_stop,phone,mild,f,both,suprised at ambient at start of crossing
4,a,t3,collision,response_stop,phone,mild,both,both,f waited till over
4,a,t4,response_stop,response_stop,phone,mild,both,both,"""got so early a notification that confused if there is something still coming"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" f till over"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
4,a,t5,collision,response_stop,phone,mild,both,both,"""very interesting that it is both"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
4,a,c1,safe_stop,safe_stop,phone,mild,f,f,"""would be nice if not able to write anymore with f"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
4,a,c2,safe_stop,safe_stop,phone,mild,f,f,"""didn't get a real notification with sound"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
4,a,s1,safe_turn,safe_turn,phone,none,no,no,did not look up
4,a,s2,safe_turn,safe_turn,phone,none,no,no,
4,b,t1,collision,response_stop,phone,mild,vha,vha,surprised by alarm
4,b,t2,collision,response_stop,phone,mild,vha,vha,
4,b,t3,collision,response_stop,phone,mild,vha,vha,"""too early"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" alarm"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
4,b,t4,collision,response_stop,phone,mild,vha,vha,surprised at sound
4,b,t5,collision,response_stop,phone,mild,vha,no,
4,b,c1,safe_stop,safe_stop,phone,none,no,no,has not seen car
4,b,c2,safe_stop,safe_stop,phone,none,no,no,redid (walked too early on street) did not notice car or look up
4,b,s1,safe_turn,safe_turn,phone,none,no,no,does not look up or wait for ambient to cross
4,b,s2,safe_turn,safe_turn,phone,none,no,no,looked up briefly at B
5,a,t1,response_stop,response_stop,phone,mild,both,both,after f walks till car visible and VHA
5,a,t2,collision,response_stop,phone,mild,vha,vha,ignores f
5,a,t3,collision,response_stop,phone,jumped,no,vha,did not notice f & VHA looked confused and jumped back when saw car
5,a,t4,collision,response_stop,phone,mild,vha,f,f sees car
5,a,t5,collision,response_stop,phone,mild,vha,both,redid (wrong speed calibration) f sees car
5,a,c1,safe_stop,safe_stop,phone,mild,no,f,jumped a bit back when car stopped
5,a,c2,safe_stop,safe_stop,phone,mild,no,f,saw car but did not hurry
5,a,s1,safe_turn,safe_turn,both,none,no,no,looks at traffic before midpoint and then at phone
5,a,s2,safe_turn,safe_turn,phone,none,no,no,looks up midway
5,b,t1,collision,response_stop,phone,mild,vha,vha,
5,b,t2,collision,response_stop,phone,mild,vha,vha,did not see ambient
5,b,t3,response_stop,response_stop,phone,mild,vha,vha,
5,b,t4,collision,response_stop,phone,mild,vha,vha,
5,b,t5,collision,response_stop,phone,mild,vha,vha,
5,b,c1,safe_stop,safe_stop,phone,none,no,no,looked up midway before catch visible and continues without noticing catch
5,b,c2,safe_stop,safe_stop,phone,none,no,no,did not notice car
5,b,s1,safe_turn,safe_turn,phone,none,no,no,looks up when crossing A and B and then again when in danger zone and got slower at the end (probably expecting a car)
5,b,s2,safe_turn,safe_turn,phone,none,no,no,speed varied (slower at the end)
6,a,t1,collision,response_run,traffic,jumped,no,both,redid (timing error) saw car after f and continues walking till VHA jumps and runs
6,a,t2,collision,response_run_back,phone,strong,vha,vha,not sure if saw f
6,a,t3,collision,response_run_back,both,strong,vha,vha,did not see f (was watching ambient)
6,a,t4,collision,response_run,both,strong,no,vha,watched traffic before start and then on phone and seemed to ignore f; looks up for VHA
6,a,t5,collision,response_run,phone,jumped,no,both,looks up midway due to f and then continues looking at phone till VHA and jumps when sees car
6,a,c1,safe_stop,safe_stop,phone,mild,no,f,f looks up before car visible
6,a,c2,safe_stop,safe_stop,phone,mild,no,f,
6,a,s1,no_event,safe_turn,phone,none,no,no,waited for ambient -> timing error but does not matter
6,a,s2,safe_turn,safe_turn,phone,none,no,no,waits for ambient and only looks at phone
6,b,t1,collision,collision,phone,none,no,vha,saw car and still crossed after alarm
6,b,t2,collision,response_run_back,phone,jumped,vha,vha,redid (timing off prev) alarm at midpoint and jumps a bit and goes back
6,b,t3,collision,response_stop,phone,mild,vha,vha,
6,b,t4,collision,response_run,traffic,strong,no,vha,sees car before alarm and hurries along
6,b,t5,collision,response_run,phone,jumped,no,vha,jumps back when alarm and sees car and hurries
6,b,c1,safe_stop,safe_stop,phone,none,no,no,noticed car after scenario
6,b,c2,safe_stop,safe_stop,traffic,none,no,no,does not stop for catch when saw it
6,b,s1,safe_turn,safe_turn,phone,none,no,no,
6,b,s2,safe_turn,safe_turn,phone,none,no,no,
7,a,t1,collision,collision,traffic,none,no,no,gets sound and haptic and is surprised but walks along
7,a,t2,collision,response_stop,phone,mild,both,both,takes one more step after f before sees car and VHA to stop completely
7,a,t3,collision,response_stop,phone,mild,both,both,takes one step after f
7,a,t4,collision,response_stop,both,mild,vha,vha,walks and looks before sees car
7,a,t5,collision,response_stop,phone,mild,both,both,after f stands still till car & VHA
7,a,c1,safe_stop,safe_stop,phone,mild,f,f,looks up stops sees car wants to take one step and stop again
7,a,c2,safe_stop,safe_stop,phone,mild,no,f,slows down and sees catch and stops
7,a,s1,safe_turn,safe_turn,both,none,no,no,sees car and stops till overjunction
7,a,s2,safe_turn,safe_turn,both,none,no,no,sees car and stops for 1sec but continues walking
7,b,t1,collision,response_stop,traffic,mild,vha,no,looked up before alarm
7,b,t2,collision,response_stop,phone,mild,vha,vha,
7,b,t3,collision,response_stop,both,mild,vha,no,redid (timing error -> walked very slowly) walks till midpoint after saw car
7,b,t4,collision,response_run,phone,strong,no,vha,redid (timing error -> waited for ambient)
7,b,t5,collision,response_stop,phone,mild,vha,no,looked up before alarm
7,b,c1,safe_stop,safe_stop,both,none,no,no,stopped without alarm (saw catch)
7,b,c2,safe_stop,safe_stop,both,none,no,no,stopped without alarm (saw catch)
7,b,s1,safe_turn,safe_turn,traffic,none,no,no,waits for ambient and walked while looking at trigger
7,b,s2,safe_turn,safe_turn,both,none,no,no,stopped midway when another car is coming
8,a,t1,collision,response_stop,traffic,mild,vha,both,redid (timing error) slowed down for f
8,a,t2,collision,response_stop,phone,mild,vha,both,does not see ambient and slowed down for f
